课程号,课序号,课程名,开课系所,容量,选课人数,余量,总学时,学分,星期,节次,持续节次,上课地点,上课周次,教师号1,教师名1,教师号2,教师名2,面向学生
00L032T,12,大学生心理学,心理中心,0,0,0,24,1.5,1,4,2,东校区东教一楼DQ106,2-13周上,7946,张驰,,,自动化1101 自动化1102 自动化1103 *
00L032T,13,大学生心理学,心理中心,0,0,0,24,1.5,1,1,2,主校区思源西楼SX404,2-13周上,8276,胡心怡,,,材化1101 材化1102
00L032T,14,大学生心理学,心理中心,0,0,0,24,1.5,1,2,2,主校区思源西楼SX404,2-13周上,8276,胡心怡,,,机电1107 机电1108 机电1109 *
00L032T,15,大学生心理学,心理中心,0,0,0,24,1.5,1,4,2,东校区东教一楼DQ305,2-13周上,8276,胡心怡,,,自动化1104 自动化1105 自动化1106 *
00L032T,16,大学生心理学,心理中心,0,0,0,24,1.5,1,2,2,主校区思源西楼SX501,2-13周上,8183,孙大强,,,机电1113 机电1114 机电1115 *
00L032T,17,大学生心理学,心理中心,0,0,0,24,1.5,3,1,2,主校区思源西楼SX303,2-13周上,8183,孙大强,,,安全1101 安全1102 生医1101 生医1102 *
00L032T,18,大学生心理学,心理中心,0,0,0,24,1.5,1,4,2,东校区东教一楼DQ306,2-13周上,8183,孙大强,,,电子1101 电子1102 电子1103 *
00L036T,01,交响乐欣赏,艺教中心,250,138,112,32,2,1,2,2,主校区第五教学楼东阶梯,1-16周,6432,何腾,,,
00L036T,02,交响乐欣赏,艺教中心,250,250,0,32,2,5,5,2,主校区第五教学楼东阶梯,1-16周,tw_ln,刘娜,,,
00L036T,03,交响乐欣赏,艺教中心,120,120,0,32,2,3,4,2,主校区天佑会堂音乐教室,1-16周,6428,关英馨,,,
00L036T,04,交响乐欣赏,艺教中心,250,247,3,32,2,5,2,2,主校区第五教学楼东阶梯,1-16周,6432,何腾,,,
00L037T,01,名曲欣赏,艺教中心,120,77,43,32,2,5,4,2,主校区天佑会堂音乐教室,1-16周,7816,赵亚宁,,,
00L037T,02,名曲欣赏,艺教中心,120,120,0,32,2,3,2,2,主校区天佑会堂音乐教室,1-16周,6428,关英馨,,,
00L037T,03,名曲欣赏,艺教中心,100,100,0,32,2,4,4,2,主校区第五教学楼东阶梯,1-16周,70348,孙姗姗,,,
00L040T,01,舞蹈欣赏,艺教中心,120,120,0,32,2,1,6,2,主校区天佑会堂音乐教室,1-16周,6302,刘姗,,,
00L041T,01,歌剧欣赏,艺教中心,100,100,0,32,2,4,2,2,主校区第五教学楼东阶梯,1-16周,70348,孙姗姗,,,
